Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Output
False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,True,True,True
False,False,False,False,False,False,True,False,False,True
False,False,False,False,False,False,True,False,True,False
False,False,False,False,False,False,True,True,False,False
False,False,False,False,False,False,True,True,True,True
False,False,False,False,False,True,False,False,False,True
False,False,False,False,False,True,False,False,True,False
False,False,False,False,False,True,False,True,False,False
False,False,False,False,False,True,False,True,True,True
False,False,False,False,False,True,True,False,False,True
False,False,False,False,False,True,True,False,True,False
False,False,False,False,False,True,True,True,False,False
False,False,False,False,False,True,True,True,True,True
False,False,False,False,True,False,False,False,False,True
False,False,False,False,True,False,False,False,True,False
False,False,False,False,True,False,False,True,False,False
False,False,False,False,True,False,False,True,True,True
False,False,False,False,True,False,True,False,False,False
False,False,False,False,True,False,True,False,True,True
False,False,False,False,True,False,True,True,False,False
False,False,False,False,True,False,True,True,True,True
False,False,False,False,True,True,False,False,False,True
False,False,False,False,True,True,False,False,True,False
False,False,False,False,True,True,False,True,False,False
False,False,False,False,True,True,False,True,True,True
False,False,False,False,True,True,True,False,False,True
False,False,False,False,True,True,True,False,True,False
False,False,False,False,True,True,True,True,False,False
False,False,False,False,True,True,True,True,True,True
False,False,False,True,False,False,False,False,False,True
False,False,False,True,False,False,False,False,True,False
False,False,False,True,False,False,False,True,False,False
False,False,False,True,False,False,False,True,True,True
False,False,False,True,False,False,True,False,False,True
False,False,False,True,False,False,True,False,True,False
False,False,False,True,False,False,True,True,False,False
False,False,False,True,False,False,True,True,True,True
False,False,False,True,False,True,False,False,False,True
False,False,False,True,False,True,False,False,True,False
False,False,False,True,False,True,False,True,False,False
False,False,False,True,False,True,False,True,True,True
False,False,False,True,False,True,True,False,False,True
False,False,False,True,False,True,True,False,True,False
False,False,False,True,False,True,True,True,False,False
False,False,False,True,False,True,True,True,True,True
False,False,False,True,True,False,False,False,False,True
False,False,False,True,True,False,False,False,True,False
False,False,False,True,True,False,False,True,False,False
False,False,False,True,True,False,False,True,True,True
False,False,False,True,True,False,True,False,False,False
False,False,False,True,True,False,True,False,True,True
False,False,False,True,True,False,True,True,False,False
False,False,False,True,True,False,True,True,True,True
False,False,False,True,True,True,False,False,False,True
False,False,False,True,True,True,False,False,True,False
False,False,False,True,True,True,False,True,False,False
False,False,False,True,True,True,False,True,True,True
False,False,False,True,True,True,True,False,False,True
False,False,False,True,True,True,True,False,True,False
False,False,False,True,True,True,True,True,False,False
False,False,False,True,True,True,True,True,True,True
False,False,True,False,False,False,False,False,False,True
False,False,True,False,False,False,False,False,True,False
False,False,True,False,False,False,False,True,False,False
False,False,True,False,False,False,False,True,True,True
False,False,True,False,False,False,True,False,False,True
False,False,True,False,False,False,True,False,True,False
False,False,True,False,False,False,True,True,False,False
False,False,True,False,False,False,True,True,True,True
False,False,True,False,False,True,False,False,False,True
False,False,True,False,False,True,False,False,True,False
False,False,True,False,False,True,False,True,False,False
False,False,True,False,False,True,False,True,True,True
False,False,True,False,False,True,True,False,False,True
False,False,True,False,False,True,True,False,True,False
False,False,True,False,False,True,True,True,False,False
False,False,True,False,False,True,True,True,True,True
False,False,True,False,True,False,False,False,False,True
False,False,True,False,True,False,False,False,True,False
False,False,True,False,True,False,False,True,False,False
False,False,True,False,True,False,False,True,True,True
False,False,True,False,True,False,True,False,False,False
False,False,True,False,True,False,True,False,True,True
False,False,True,False,True,False,True,True,False,False
False,False,True,False,True,False,True,True,True,True
False,False,True,False,True,True,False,False,False,True
False,False,True,False,True,True,False,False,True,False
False,False,True,False,True,True,False,True,False,False
False,False,True,False,True,True,False,True,True,True
False,False,True,False,True,True,True,False,False,True
False,False,True,False,True,True,True,False,True,False
False,False,True,False,True,True,True,True,False,False
False,False,True,False,True,True,True,True,True,True
False,False,True,True,False,False,False,False,False,True
False,False,True,True,False,False,False,False,True,False
False,False,True,True,False,False,False,True,False,False
False,False,True,True,False,False,False,True,True,True
False,False,True,True,False,False,True,False,False,False
False,False,True,True,False,False,True,False,True,True
False,False,True,True,False,False,True,True,False,False
False,False,True,True,False,False,True,True,True,True
False,False,True,True,False,True,False,False,False,True
False,False,True,True,False,True,False,False,True,False
False,False,True,True,False,True,False,True,False,False
False,False,True,True,False,True,False,True,True,True
False,False,True,True,False,True,True,False,False,True
False,False,True,True,False,True,True,False,True,False
False,False,True,True,False,True,True,True,False,False
False,False,True,True,False,True,True,True,True,True
False,False,True,True,True,False,False,False,False,True
False,False,True,True,True,False,False,False,True,False
False,False,True,True,True,False,False,True,False,False
False,False,True,True,True,False,False,True,True,True
False,False,True,True,True,False,True,False,False,True
False,False,True,True,True,False,True,False,True,False
False,False,True,True,True,False,True,True,False,False
False,False,True,True,True,False,True,True,True,True
False,False,True,True,True,True,False,False,False,True
False,False,True,True,True,True,False,False,True,False
False,False,True,True,True,True,False,True,False,False
False,False,True,True,True,True,False,True,True,True
False,False,True,True,True,True,True,False,False,True
False,False,True,True,True,True,True,False,True,False
False,False,True,True,True,True,True,True,False,False
False,False,True,True,True,True,True,True,True,True
False,True,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,True,True,True
False,True,False,False,False,False,True,False,False,True
False,True,False,False,False,False,True,False,True,False
False,True,False,False,False,False,True,True,False,False
False,True,False,False,False,False,True,True,True,True
False,True,False,False,False,True,False,False,False,True
False,True,False,False,False,True,False,False,True,False
False,True,False,False,False,True,False,True,False,False
False,True,False,False,False,True,False,True,True,True
False,True,False,False,False,True,True,False,False,True
False,True,False,False,False,True,True,False,True,False
False,True,False,False,False,True,True,True,False,False
False,True,False,False,False,True,True,True,True,True
False,True,False,False,True,False,False,False,False,True
False,True,False,False,True,False,False,False,True,False
False,True,False,False,True,False,False,True,False,False
False,True,False,False,True,False,False,True,True,True
False,True,False,False,True,False,True,False,False,False
False,True,False,False,True,False,True,False,True,True
False,True,False,False,True,False,True,True,False,False
False,True,False,False,True,False,True,True,True,True
False,True,False,False,True,True,False,False,False,True
False,True,False,False,True,True,False,False,True,False
False,True,False,False,True,True,False,True,False,False
False,True,False,False,True,True,False,True,True,True
False,True,False,False,True,True,True,False,False,True
False,True,False,False,True,True,True,False,True,False
False,True,False,False,True,True,True,True,False,False
False,True,False,False,True,True,True,True,True,True
False,True,False,True,False,False,False,False,False,True
False,True,False,True,False,False,False,False,True,False
False,True,False,True,False,False,False,True,False,False
False,True,False,True,False,False,False,True,True,True
False,True,False,True,False,False,True,False,False,False
False,True,False,True,False,False,True,False,True,True
False,True,False,True,False,False,True,True,False,False
False,True,False,True,False,False,True,True,True,True
False,True,False,True,False,True,False,False,False,True
False,True,False,True,False,True,False,False,True,False
False,True,False,True,False,True,False,True,False,False
False,True,False,True,False,True,False,True,True,True
False,True,False,True,False,True,True,False,False,True
False,True,False,True,False,True,True,False,True,False
False,True,False,True,False,True,True,True,False,False
False,True,False,True,False,True,True,True,True,True
False,True,False,True,True,False,False,False,False,True
False,True,False,True,True,False,False,False,True,False
False,True,False,True,True,False,False,True,False,False
False,True,False,True,True,False,False,True,True,True
False,True,False,True,True,False,True,False,False,True
False,True,False,True,True,False,True,False,True,False
False,True,False,True,True,False,True,True,False,False
False,True,False,True,True,False,True,True,True,True
False,True,False,True,True,True,False,False,False,True
False,True,False,True,True,True,False,False,True,False
False,True,False,True,True,True,False,True,False,False
False,True,False,True,True,True,False,True,True,True
False,True,False,True,True,True,True,False,False,True
False,True,False,True,True,True,True,False,True,False
False,True,False,True,True,True,True,True,False,False
False,True,False,True,True,True,True,True,True,True
False,True,True,False,False,False,False,False,False,True
False,True,True,False,False,False,False,False,True,False
False,True,True,False,False,False,False,True,False,False
False,True,True,False,False,False,False,True,True,True
False,True,True,False,False,False,True,False,False,True
False,True,True,False,False,False,True,False,True,False
False,True,True,False,False,False,True,True,False,False
False,True,True,False,False,False,True,True,True,True
False,True,True,False,False,True,False,False,False,True
False,True,True,False,False,True,False,False,True,False
False,True,True,False,False,True,False,True,False,False
False,True,True,False,False,True,False,True,True,True
False,True,True,False,False,True,True,False,False,True
False,True,True,False,False,True,True,False,True,False
False,True,True,False,False,True,True,True,False,False
False,True,True,False,False,True,True,True,True,True
False,True,True,False,True,False,False,False,False,True
False,True,True,False,True,False,False,False,True,False
False,True,True,False,True,False,False,True,False,False
False,True,True,False,True,False,False,True,True,True
False,True,True,False,True,False,True,False,False,False
False,True,True,False,True,False,True,False,True,True
False,True,True,False,True,False,True,True,False,False
False,True,True,False,True,False,True,True,True,True
False,True,True,False,True,True,False,False,False,True
False,True,True,False,True,True,False,False,True,False
False,True,True,False,True,True,False,True,False,False
False,True,True,False,True,True,False,True,True,True
False,True,True,False,True,True,True,False,False,True
False,True,True,False,True,True,True,False,True,False
False,True,True,False,True,True,True,True,False,False
False,True,True,False,True,True,True,True,True,True
False,True,True,True,False,False,False,False,False,True
False,True,True,True,False,False,False,False,True,False
False,True,True,True,False,False,False,True,False,False
False,True,True,True,False,False,False,True,True,True
False,True,True,True,False,False,True,False,False,True
False,True,True,True,False,False,True,False,True,False
False,True,True,True,False,False,True,True,False,False
False,True,True,True,False,False,True,True,True,True
False,True,True,True,False,True,False,False,False,True
False,True,True,True,False,True,False,False,True,False
False,True,True,True,False,True,False,True,False,False
False,True,True,True,False,True,False,True,True,True
False,True,True,True,False,True,True,False,False,True
False,True,True,True,False,True,True,False,True,False
False,True,True,True,False,True,True,True,False,False
False,True,True,True,False,True,True,True,True,True
False,True,True,True,True,False,False,False,False,True
False,True,True,True,True,False,False,False,True,False
False,True,True,True,True,False,False,True,False,False
False,True,True,True,True,False,False,True,True,True
False,True,True,True,True,False,True,False,False,False
False,True,True,True,True,False,True,False,True,True
False,True,True,True,True,False,True,True,False,False
False,True,True,True,True,False,True,True,True,True
False,True,True,True,True,True,False,False,False,True
False,True,True,True,True,True,False,False,True,False
False,True,True,True,True,True,False,True,False,False
False,True,True,True,True,True,False,True,True,True
False,True,True,True,True,True,True,False,False,True
False,True,True,True,True,True,True,False,True,False
False,True,True,True,True,True,True,True,False,False
False,True,True,True,True,True,True,True,True,True
True,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,True,True,True
True,False,False,False,False,False,True,False,False,True
True,False,False,False,False,False,True,False,True,False
True,False,False,False,False,False,True,True,False,False
True,False,False,False,False,False,True,True,True,True
True,False,False,False,False,True,False,False,False,True
True,False,False,False,False,True,False,False,True,False
True,False,False,False,False,True,False,True,False,False
True,False,False,False,False,True,False,True,True,True
True,False,False,False,False,True,True,False,False,True
True,False,False,False,False,True,True,False,True,False
True,False,False,False,False,True,True,True,False,False
True,False,False,False,False,True,True,True,True,True
True,False,False,False,True,False,False,False,False,True
True,False,False,False,True,False,False,False,True,False
True,False,False,False,True,False,False,True,False,False
True,False,False,False,True,False,False,True,True,True
True,False,False,False,True,False,True,False,False,False
True,False,False,False,True,False,True,False,True,True
True,False,False,False,True,False,True,True,False,False
True,False,False,False,True,False,True,True,True,True
True,False,False,False,True,True,False,False,False,True
True,False,False,False,True,True,False,False,True,False
True,False,False,False,True,True,False,True,False,False
True,False,False,False,True,True,False,True,True,True
True,False,False,False,True,True,True,False,False,True
True,False,False,False,True,True,True,False,True,False
True,False,False,False,True,True,True,True,False,False
True,False,False,False,True,True,True,True,True,True
True,False,False,True,False,False,False,False,False,True
True,False,False,True,False,False,False,False,True,False
True,False,False,True,False,False,False,True,False,False
True,False,False,True,False,False,False,True,True,True
True,False,False,True,False,False,True,False,False,False
True,False,False,True,False,False,True,False,True,True
True,False,False,True,False,False,True,True,False,False
True,False,False,True,False,False,True,True,True,True
True,False,False,True,False,True,False,False,False,True
True,False,False,True,False,True,False,False,True,False
True,False,False,True,False,True,False,True,False,False
True,False,False,True,False,True,False,True,True,True
True,False,False,True,False,True,True,False,False,True
True,False,False,True,False,True,True,False,True,False
True,False,False,True,False,True,True,True,False,False
True,False,False,True,False,True,True,True,True,True
True,False,False,True,True,False,False,False,False,True
True,False,False,True,True,False,False,False,True,False
True,False,False,True,True,False,False,True,False,False
True,False,False,True,True,False,False,True,True,True
True,False,False,True,True,False,True,False,False,True
True,False,False,True,True,False,True,False,True,False
True,False,False,True,True,False,True,True,False,False
True,False,False,True,True,False,True,True,True,True
True,False,False,True,True,True,False,False,False,True
True,False,False,True,True,True,False,False,True,False
True,False,False,True,True,True,False,True,False,False
True,False,False,True,True,True,False,True,True,True
True,False,False,True,True,True,True,False,False,True
True,False,False,True,True,True,True,False,True,False
True,False,False,True,True,True,True,True,False,False
True,False,False,True,True,True,True,True,True,True
True,False,True,False,False,False,False,False,False,True
True,False,True,False,False,False,False,False,True,False
True,False,True,False,False,False,False,True,False,False
True,False,True,False,False,False,False,True,True,True
True,False,True,False,False,False,True,False,False,True
True,False,True,False,False,False,True,False,True,False
True,False,True,False,False,False,True,True,False,False
True,False,True,False,False,False,True,True,True,True
True,False,True,False,False,True,False,False,False,True
True,False,True,False,False,True,False,False,True,False
True,False,True,False,False,True,False,True,False,False
True,False,True,False,False,True,False,True,True,True
True,False,True,False,False,True,True,False,False,True
True,False,True,False,False,True,True,False,True,False
True,False,True,False,False,True,True,True,False,False
True,False,True,False,False,True,True,True,True,True
True,False,True,False,True,False,False,False,False,True
True,False,True,False,True,False,False,False,True,False
True,False,True,False,True,False,False,True,False,False
True,False,True,False,True,False,False,True,True,True
True,False,True,False,True,False,True,False,False,False
True,False,True,False,True,False,True,False,True,True
True,False,True,False,True,False,True,True,False,False
True,False,True,False,True,False,True,True,True,True
True,False,True,False,True,True,False,False,False,True
True,False,True,False,True,True,False,False,True,False
True,False,True,False,True,True,False,True,False,False
True,False,True,False,True,True,False,True,True,True
True,False,True,False,True,True,True,False,False,True
True,False,True,False,True,True,True,False,True,False
True,False,True,False,True,True,True,True,False,False
True,False,True,False,True,True,True,True,True,True
True,False,True,True,False,False,False,False,False,True
True,False,True,True,False,False,False,False,True,False
True,False,True,True,False,False,False,True,False,False
True,False,True,True,False,False,False,True,True,True
True,False,True,True,False,False,True,False,False,True
True,False,True,True,False,False,True,False,True,False
True,False,True,True,False,False,True,True,False,False
True,False,True,True,False,False,True,True,True,True
True,False,True,True,False,True,False,False,False,True
True,False,True,True,False,True,False,False,True,False
True,False,True,True,False,True,False,True,False,False
True,False,True,True,False,True,False,True,True,True
True,False,True,True,False,True,True,False,False,True
True,False,True,True,False,True,True,False,True,False
True,False,True,True,False,True,True,True,False,False
True,False,True,True,False,True,True,True,True,True
True,False,True,True,True,False,False,False,False,True
True,False,True,True,True,False,False,False,True,False
True,False,True,True,True,False,False,True,False,False
True,False,True,True,True,False,False,True,True,True
True,False,True,True,True,False,True,False,False,False
True,False,True,True,True,False,True,False,True,True
True,False,True,True,True,False,True,True,False,False
True,False,True,True,True,False,True,True,True,True
True,False,True,True,True,True,False,False,False,True
True,False,True,True,True,True,False,False,True,False
True,False,True,True,True,True,False,True,False,False
True,False,True,True,True,True,False,True,True,True
True,False,True,True,True,True,True,False,False,True
True,False,True,True,True,True,True,False,True,False
True,False,True,True,True,True,True,True,False,False
True,False,True,True,True,True,True,True,True,True
True,True,False,False,False,False,False,False,False,True
True,True,False,False,False,False,False,False,True,False
True,True,False,False,False,False,False,True,False,False
True,True,False,False,False,False,False,True,True,True
True,True,False,False,False,False,True,False,False,True
True,True,False,False,False,False,True,False,True,False
True,True,False,False,False,False,True,True,False,False
True,True,False,False,False,False,True,True,True,True
True,True,False,False,False,True,False,False,False,True
True,True,False,False,False,True,False,False,True,False
True,True,False,False,False,True,False,True,False,False
True,True,False,False,False,True,False,True,True,True
True,True,False,False,False,True,True,False,False,True
True,True,False,False,False,True,True,False,True,False
True,True,False,False,False,True,True,True,False,False
True,True,False,False,False,True,True,True,True,True
True,True,False,False,True,False,False,False,False,True
True,True,False,False,True,False,False,False,True,False
True,True,False,False,True,False,False,True,False,False
True,True,False,False,True,False,False,True,True,True
True,True,False,False,True,False,True,False,False,False
True,True,False,False,True,False,True,False,True,True
True,True,False,False,True,False,True,True,False,False
True,True,False,False,True,False,True,True,True,True
True,True,False,False,True,True,False,False,False,True
True,True,False,False,True,True,False,False,True,False
True,True,False,False,True,True,False,True,False,False
True,True,False,False,True,True,False,True,True,True
True,True,False,False,True,True,True,False,False,True
True,True,False,False,True,True,True,False,True,False
True,True,False,False,True,True,True,True,False,False
True,True,False,False,True,True,True,True,True,True
True,True,False,True,False,False,False,False,False,True
True,True,False,True,False,False,False,False,True,False
True,True,False,True,False,False,False,True,False,False
True,True,False,True,False,False,False,True,True,True
True,True,False,True,False,False,True,False,False,False
True,True,False,True,False,False,True,False,True,True
True,True,False,True,False,False,True,True,False,False
True,True,False,True,False,False,True,True,True,True
True,True,False,True,False,True,False,False,False,True
True,True,False,True,False,True,False,False,True,False
True,True,False,True,False,True,False,True,False,False
True,True,False,True,False,True,False,True,True,True
True,True,False,True,False,True,True,False,False,True
True,True,False,True,False,True,True,False,True,False
True,True,False,True,False,True,True,True,False,False
True,True,False,True,False,True,True,True,True,True
True,True,False,True,True,False,False,False,False,True
True,True,False,True,True,False,False,False,True,False
True,True,False,True,True,False,False,True,False,False
True,True,False,True,True,False,False,True,True,True
True,True,False,True,True,False,True,False,False,True
True,True,False,True,True,False,True,False,True,False
True,True,False,True,True,False,True,True,False,False
True,True,False,True,True,False,True,True,True,True
True,True,False,True,True,True,False,False,False,True
True,True,False,True,True,True,False,False,True,False
True,True,False,True,True,True,False,True,False,False
True,True,False,True,True,True,False,True,True,True
True,True,False,True,True,True,True,False,False,True
True,True,False,True,True,True,True,False,True,False
True,True,False,True,True,True,True,True,False,False
True,True,False,True,True,True,True,True,True,True
True,True,True,False,False,False,False,False,False,True
True,True,True,False,False,False,False,False,True,False
True,True,True,False,False,False,False,True,False,False
True,True,True,False,False,False,False,True,True,True
True,True,True,False,False,False,True,False,False,True
True,True,True,False,False,False,True,False,True,False
True,True,True,False,False,False,True,True,False,False
True,True,True,False,False,False,True,True,True,True
True,True,True,False,False,True,False,False,False,True
True,True,True,False,False,True,False,False,True,False
True,True,True,False,False,True,False,True,False,False
True,True,True,False,False,True,False,True,True,True
True,True,True,False,False,True,True,False,False,True
True,True,True,False,False,True,True,False,True,False
True,True,True,False,False,True,True,True,False,False
True,True,True,False,False,True,True,True,True,True
True,True,True,False,True,False,False,False,False,True
True,True,True,False,True,False,False,False,True,False
True,True,True,False,True,False,False,True,False,False
True,True,True,False,True,False,False,True,True,True
True,True,True,False,True,False,True,False,False,False
True,True,True,False,True,False,True,False,True,True
True,True,True,False,True,False,True,True,False,False
True,True,True,False,True,False,True,True,True,True
True,True,True,False,True,True,False,False,False,True
True,True,True,False,True,True,False,False,True,False
True,True,True,False,True,True,False,True,False,False
True,True,True,False,True,True,False,True,True,True
True,True,True,False,True,True,True,False,False,True
True,True,True,False,True,True,True,False,True,False
True,True,True,False,True,True,True,True,False,False
True,True,True,False,True,True,True,True,True,True
True,True,True,True,False,False,False,False,False,True
True,True,True,True,False,False,False,False,True,False
True,True,True,True,False,False,False,True,False,False
True,True,True,True,False,False,False,True,True,True
True,True,True,True,False,False,True,False,False,True
True,True,True,True,False,False,True,False,True,False
True,True,True,True,False,False,True,True,False,False
True,True,True,True,False,False,True,True,True,True
True,True,True,True,False,True,False,False,False,True
True,True,True,True,False,True,False,False,True,False
True,True,True,True,False,True,False,True,False,False
True,True,True,True,False,True,False,True,True,True
True,True,True,True,False,True,True,False,False,True
True,True,True,True,False,True,True,False,True,False
True,True,True,True,False,True,True,True,False,False
True,True,True,True,False,True,True,True,True,True
True,True,True,True,True,False,False,False,False,True
True,True,True,True,True,False,False,False,True,False
True,True,True,True,True,False,False,True,False,False
True,True,True,True,True,False,False,True,True,True
True,True,True,True,True,False,True,False,False,False
True,True,True,True,True,False,True,False,True,True
True,True,True,True,True,False,True,True,False,False
True,True,True,True,True,False,True,True,True,True
True,True,True,True,True,True,False,False,False,True
True,True,True,True,True,True,False,False,True,False
True,True,True,True,True,True,False,True,False,False
True,True,True,True,True,True,False,True,True,True
True,True,True,True,True,True,True,False,False,True
True,True,True,True,True,True,True,False,True,False
True,True,True,True,True,True,True,True,False,False
True,True,True,True,True,True,True,True,True,True
